Age,Experience,Salary,Performance_Score,Work_Life_Balance,Department,Education_Level,Gender,Marital_Status,Job_Role
25,0,31963,3,2,Marketing,Master,Female,Married,Manager
36,11,83963,3,3,Engineering,Master,Male,Married,Engineer
40,19,69180,1,2,Engineering,Bachelor,Female,Divorced,Engineer
36,13,43889,3,1,Sales,High School,Male,Married,Executive
34,9,44300,1,5,Marketing,Bachelor,Female,Single,Manager
32,9,32707,1,3,Finance,High School,Female,Married,Analyst
24,0,33406,4,4,Finance,Bachelor,Female,Single,Manager
29,4,45858,3,3,Engineering,Master,Male,Married,Engineer
31,6,37260,3,2,Sales,Bachelor,Male,Divorced,Manager
42,21,84916,3,3,HR,PhD,Female,Married,Clerk
37,15,42685,5,2,HR,Bachelor,Male,Married,Clerk
22,0,30000,4,2,Finance,Master,Male,Single,Analyst
37,11,43568,3,1,Marketing,Bachelor,Female,Divorced,Executive
32,7,56123,3,1,HR,PhD,Male,Married,Manager
30,5,38464,2,3,HR,Master,Male,Married,Clerk
39,18,43261,4,1,Marketing,High School,Female,Divorced,Executive
42,20,97518,3,2,Finance,PhD,Male,Married,Clerk
41,15,45041,3,5,Marketing,Bachelor,Female,Divorced,Executive
29,5,35899,5,1,Marketing,High School,Female,Married,Executive
32,8,39226,3,2,HR,Bachelor,Male,Married,Clerk
37,15,78578,3,4,Engineering,Master,Female,Married,Engineer
41,18,50232,4,4,Marketing,Bachelor,Male,Married,Executive
31,10,43012,4,1,Sales,Bachelor,Female,Married,Manager
33,11,58971,4,2,Finance,Master,Female,Married,Clerk
27,3,54117,4,3,Engineering,Master,Male,Single,Engineer
26,1,33507,5,3,HR,Bachelor,Female,Single,Clerk
40,16,37982,5,2,Marketing,High School,Female,Married,Analyst
44,19,65327,3,2,Finance,Bachelor,Male,Divorced,Manager
34,13,60987,3,2,Marketing,Master,Male,Married,Analyst
42,17,59429,3,2,Marketing,Master,Male,Married,Executive
37,15,49102,4,2,Sales,Bachelor,Female,Married,Executive
30,5,30000,2,3,Marketing,Bachelor,Male,Single,Analyst
37,14,52277,3,2,Finance,High School,Male,Married,Analyst
45,23,80447,1,3,Sales,Master,Male,Married,Executive
34,13,48514,3,3,Engineering,High School,Male,Single,Engineer
45,23,46687,4,2,Marketing,High School,Female,Married,Manager
22,0,30000,3,4,Finance,High School,Female,Single,Clerk
40,19,65214,4,5,Finance,Bachelor,Male,Married,Analyst
35,11,44789,3,2,Sales,Bachelor,Male,Divorced,Manager
32,9,35021,3,2,HR,Bachelor,Male,Married,Clerk
35,14,50912,5,3,HR,Master,Male,Married,Clerk
22,0,30000,3,1,Finance,High School,Female,Single,Analyst
33,11,57970,3,5,Engineering,Bachelor,Male,Married,Engineer
37,16,74661,5,2,Engineering,Master,Female,Widowed,Engineer
45,23,61582,3,4,Marketing,Bachelor,Female,Widowed,Manager
31,6,33790,4,2,Marketing,Bachelor,Female,Married,Manager
29,8,36184,4,3,Sales,High School,Female,Married,Executive
31,7,74934,3,2,Engineering,Master,Female,Married,Engineer
41,18,52044,3,3,Finance,Bachelor,Male,Married,Manager
37,16,60558,3,4,Sales,Master,Female,Married,Executive
31,6,43661,3,5,Finance,Bachelor,Female,Single,Clerk
38,17,49605,3,3,HR,Bachelor,Female,Married,Manager
35,13,63565,3,3,Marketing,Master,Male,Married,Executive
41,15,102186,4,3,Engineering,PhD,Male,Married,Engineer
30,9,39179,4,3,Finance,High School,Female,Single,Clerk
32,8,52984,4,2,Sales,Master,Male,Single,Manager
32,11,56024,1,3,Engineering,Bachelor,Male,Single,Engineer
24,1,37483,2,4,Finance,Bachelor,Male,Single,Clerk
37,16,61630,3,4,Finance,Bachelor,Female,Married,Analyst
36,10,59170,5,3,Engineering,Bachelor,Male,Divorced,Engineer
35,13,43902,4,2,Finance,Bachelor,Female,Divorced,Analyst
33,12,48614,5,4,Finance,Bachelor,Male,Married,Manager
25,1,30000,3,5,Sales,High School,Male,Single,Executive
32,7,35221,3,3,Finance,High School,Male,Single,Manager
32,11,78382,3,5,Engineering,Master,Male,Single,Engineer
29,8,65243,3,5,Marketing,PhD,Male,Married,Analyst
33,10,61674,4,3,Finance,Master,Male,Single,Analyst
37,13,58614,3,4,Finance,Bachelor,Male,Divorced,Clerk
48,22,65500,4,3,Sales,Bachelor,Male,Married,Manager
36,11,52642,4,4,Sales,Master,Female,Divorced,Manager
36,14,99393,3,2,Engineering,PhD,Male,Married,Engineer
34,13,41805,5,3,Marketing,Bachelor,Male,Married,Analyst
22,0,58448,3,1,Engineering,Master,Male,Single,Engineer
34,9,72593,4,3,Engineering,PhD,Male,Single,Engineer
35,13,51584,4,5,Finance,Master,Female,Married,Analyst
52,26,103484,3,3,Engineering,Bachelor,Male,Married,Engineer
33,9,32707,3,1,Marketing,High School,Male,Married,Analyst
37,13,70165,4,5,Engineering,Bachelor,Male,Married,Engineer
34,9,44806,2,2,Marketing,Bachelor,Female,Single,Executive
26,4,53595,5,4,Engineering,Bachelor,Male,Single,Engineer
42,18,77942,2,4,Engineering,Bachelor,Male,Married,Engineer
40,15,66584,3,3,Sales,Master,Female,Married,Executive
40,16,40184,5,3,Marketing,Bachelor,Female,Married,Manager
28,4,34300,2,2,Finance,Bachelor,Male,Single,Analyst
44,18,39474,2,3,HR,Bachelor,Male,Married,Clerk
25,0,30000,4,2,Sales,Bachelor,Female,Married,Executive
39,15,53821,3,3,HR,Master,Female,Married,Manager
50,27,72713,2,3,Engineering,High School,Female,Married,Engineer
28,2,32217,3,3,Marketing,Master,Male,Single,Manager
31,9,41737,4,5,Sales,Bachelor,Female,Married,Executive
35,10,44106,3,3,Engineering,High School,Male,Married,Engineer
31,6,48872,4,3,Sales,Master,Female,Single,Manager
24,2,33116,3,4,HR,Bachelor,Female,Single,Clerk
35,13,48042,3,1,Marketing,Bachelor,Female,Married,Analyst
27,5,38618,2,4,Marketing,Bachelor,Male,Single,Analyst
38,16,54954,5,2,Sales,Bachelor,Male,Widowed,Executive
28,7,60365,3,3,Engineering,Bachelor,Male,Single,Engineer
45,20,108140,2,5,Engineering,Master,Male,Married,Engineer
29,8,30000,2,5,Marketing,High School,Male,Married,Analyst
32,8,67924,3,3,Marketing,PhD,Male,Single,Manager
40,16,61817,3,2,Engineering,Bachelor,Male,Married,Engineer
26,1,30000,2,5,HR,High School,Female,Married,Clerk
36,12,35500,3,4,HR,High School,Male,Married,Clerk
44,22,85854,4,3,Engineering,Bachelor,Male,Divorced,Engineer
23,2,42568,3,1,Engineering,Bachelor,Male,Single,Engineer
36,14,38741,1,4,Marketing,High School,Female,Married,Analyst
36,12,47231,2,2,Marketing,Bachelor,Female,Married,Executive
40,14,56166,3,5,Marketing,Master,Male,Married,Analyst
26,5,30000,2,3,Sales,High School,Female,Married,Executive
25,3,45528,2,3,Finance,Master,Male,Married,Clerk
38,13,43468,4,2,Marketing,Bachelor,Female,Widowed,Executive
37,15,45912,3,3,Marketing,Bachelor,Female,Married,Analyst
36,10,52444,3,4,Engineering,Bachelor,Male,Divorced,Engineer
37,13,30129,3,3,Marketing,High School,Male,Married,Executive
30,9,54782,4,4,Finance,Master,Female,Single,Analyst
36,11,33482,2,4,HR,High School,Female,Widowed,Clerk
37,16,57840,2,1,Sales,Bachelor,Female,Married,Executive
29,4,36350,2,3,Finance,Bachelor,Female,Married,Clerk
48,27,70548,5,3,HR,Bachelor,Male,Married,Clerk
38,14,51222,3,3,Marketing,Bachelor,Male,Married,Manager
26,1,30000,2,3,Marketing,Master,Female,Married,Executive
39,16,56714,3,1,Finance,Bachelor,Male,Divorced,Analyst
28,7,57692,4,3,Marketing,Master,Female,Married,Executive
40,19,71021,1,3,Marketing,Master,Male,Divorced,Executive
43,21,64752,4,5,Finance,Bachelor,Male,Married,Clerk
29,4,36416,5,3,HR,Bachelor,Male,Single,Clerk
41,15,41574,2,3,HR,Bachelor,Female,Divorced,Clerk
37,14,43412,2,4,HR,Bachelor,Male,Married,Clerk
40,16,46585,1,4,Finance,Bachelor,Female,Widowed,Analyst
48,26,140436,2,3,Engineering,PhD,Female,Married,Engineer
33,10,35254,4,1,HR,Bachelor,Female,Single,Manager
29,4,32037,1,4,HR,Bachelor,Male,Married,Clerk
28,5,30000,3,1,HR,Bachelor,Female,Single,Clerk
29,8,38701,3,4,HR,Bachelor,Female,Single,Manager
34,13,53059,5,3,HR,Master,Male,Married,Clerk
37,15,58670,3,3,Engineering,Bachelor,Male,Widowed,Engineer
36,11,35290,2,4,Sales,High School,Male,Married,Executive
40,15,40406,3,1,Marketing,High School,Male,Married,Manager
35,12,66298,4,3,Finance,Master,Male,Divorced,Analyst
45,23,79658,2,3,Finance,Bachelor,Female,Divorced,Manager
33,8,93774,3,4,Engineering,PhD,Male,Single,Engineer
54,28,52078,5,4,Marketing,High School,Male,Divorced,Analyst
39,13,45963,1,4,Sales,Bachelor,Female,Married,Executive
28,7,30000,2,1,HR,High School,Male,Married,Clerk
27,4,30000,4,1,Marketing,Bachelor,Female,Married,Manager
38,14,60830,2,4,Finance,Bachelor,Female,Married,Analyst
33,12,30000,1,3,HR,High School,Male,Married,Manager
39,17,51989,2,3,Marketing,Bachelor,Female,Widowed,Executive
38,13,47992,4,3,Sales,Bachelor,Female,Married,Manager
34,13,50281,5,5,Finance,Bachelor,Female,Single,Analyst
29,5,40284,3,1,Engineering,Bachelor,Male,Married,Engineer
24,0,30000,2,2,Marketing,Master,Male,Single,Analyst
31,5,30000,2,4,Marketing,Bachelor,Female,Married,Manager
40,18,53755,3,1,Marketing,Bachelor,Male,Married,Executive
36,15,49939,4,3,HR,Bachelor,Male,Married,Clerk
26,3,56178,4,4,Finance,Master,Female,Married,Clerk
36,15,65006,3,2,Sales,Master,Male,Widowed,Executive
37,11,49463,5,2,Sales,Bachelor,Female,Divorced,Manager
28,4,44041,2,3,Sales,Bachelor,Male,Married,Executive
36,14,69552,2,2,Finance,Master,Female,Married,Manager
35,13,89785,4,3,Finance,PhD,Female,Married,Analyst
26,3,42382,3,2,Engineering,Bachelor,Female,Single,Engineer
37,15,84159,3,2,Sales,PhD,Male,Married,Manager
38,12,53954,3,3,Finance,Bachelor,Female,Divorced,Clerk
42,16,69683,3,5,Finance,Master,Male,Married,Clerk
42,16,80256,3,5,Engineering,Bachelor,Male,Married,Engineer
25,3,30000,5,4,Sales,Bachelor,Female,Single,Manager
28,6,36088,2,3,Engineering,High School,Female,Married,Engineer
38,12,61432,3,2,Marketing,Master,Female,Married,Analyst
38,16,91814,1,4,Engineering,Master,Male,Married,Engineer
38,16,59469,4,3,Finance,Bachelor,Female,Married,Analyst
60,35,75778,2,4,HR,Bachelor,Female,Married,Clerk
38,17,51116,4,1,Finance,High School,Male,Divorced,Analyst
42,17,54458,2,3,Marketing,Bachelor,Female,Married,Manager
41,19,65676,3,3,Finance,Bachelor,Male,Married,Manager
39,14,42117,4,2,HR,Bachelor,Male,Divorced,Manager
32,7,50426,3,3,HR,Master,Female,Married,Manager
40,16,42383,3,3,Sales,High School,Male,Married,Executive
29,7,31281,4,1,Finance,High School,Male,Married,Analyst
33,7,39111,2,5,Marketing,Bachelor,Male,Single,Manager
31,6,52930,5,3,Engineering,Bachelor,Male,Married,Engineer
35,13,80303,2,5,Engineering,Master,Male,Married,Engineer
51,28,73020,4,3,Marketing,Bachelor,Male,Married,Executive
22,0,30000,4,3,Marketing,Bachelor,Female,Single,Analyst
39,16,50990,3,5,Marketing,Bachelor,Male,Widowed,Analyst
23,0,30000,2,4,Marketing,High School,Female,Single,Analyst
31,6,40168,2,2,Sales,Bachelor,Male,Divorced,Executive
42,19,41197,5,1,Marketing,High School,Male,Married,Analyst
35,11,47905,4,3,Finance,Bachelor,Male,Divorced,Analyst
27,3,35475,3,3,HR,Bachelor,Male,Married,Manager
29,4,30000,3,4,Marketing,High School,Female,Single,Analyst
39,17,55108,1,3,Finance,High School,Male,Divorced,Manager
29,8,47883,4,3,Sales,Bachelor,Female,Married,Manager
36,14,57286,5,3,Finance,Bachelor,Male,Divorced,Analyst
35,13,79978,2,3,Engineering,Master,Male,Divorced,Engineer
30,8,30000,4,3,HR,High School,Female,Married,Clerk
50,28,80308,2,3,Engineering,High School,Male,Married,Engineer
39,13,38999,4,3,Marketing,High School,Female,Married,Analyst
22,1,34245,3,3,Marketing,Bachelor,Female,Single,Analyst
36,10,54295,4,5,Engineering,Bachelor,Male,Married,Engineer
30,7,38411,5,3,Marketing,Master,Male,Married,Analyst
40,18,56535,4,4,Marketing,Bachelor,Male,Widowed,Manager
29,5,41013,5,3,Sales,Bachelor,Male,Married,Executive
34,9,41682,3,3,Marketing,Bachelor,Female,Married,Analyst
38,13,69158,5,5,Finance,Master,Female,Married,Analyst
41,15,62712,4,3,Engineering,Bachelor,Female,Divorced,Engineer
26,0,32961,2,5,Marketing,Bachelor,Male,Married,Manager
32,8,93324,3,5,Engineering,PhD,Male,Single,Engineer
31,9,75821,5,1,Engineering,Master,Male,Single,Engineer
30,9,50296,2,5,Marketing,Master,Male,Single,Analyst
47,24,79125,3,2,Finance,Bachelor,Male,Divorced,Manager
37,12,46514,4,1,Finance,Bachelor,Male,Married,Analyst
26,3,32883,1,4,Finance,High School,Female,Single,Analyst
41,20,60403,4,3,Marketing,Bachelor,Male,Married,Analyst
49,23,58965,3,5,Finance,High School,Male,Married,Analyst
42,17,60957,3,3,Sales,Master,Female,Widowed,Executive
24,1,43093,3,3,Finance,Master,Female,Single,Clerk
31,5,39841,3,1,Finance,Bachelor,Male,Married,Manager
43,22,42570,4,3,Sales,High School,Female,Married,Executive
30,7,30458,4,2,Finance,High School,Male,Married,Clerk
38,16,64590,3,1,HR,Master,Male,Married,Clerk
40,14,44109,4,3,HR,Bachelor,Female,Married,Clerk
28,7,52189,4,5,Marketing,Master,Female,Single,Executive
34,11,46996,5,3,HR,Bachelor,Female,Single,Manager
22,0,42550,4,2,Engineering,Bachelor,Female,Single,Engineer
27,5,45444,3,1,Finance,Master,Male,Married,Clerk
33,12,68537,3,2,Engineering,Bachelor,Male,Single,Engineer
26,2,44288,4,2,Engineering,Bachelor,Male,Married,Engineer
46,21,81474,4,3,Finance,Master,Male,Divorced,Analyst
24,3,38924,2,3,Engineering,Bachelor,Male,Single,Engineer
31,9,36076,4,2,Finance,High School,Male,Married,Analyst
35,13,40513,3,1,HR,Bachelor,Female,Widowed,Manager
45,24,50972,2,5,HR,High School,Female,Married,Manager
24,0,49726,3,4,Finance,Master,Female,Single,Analyst
43,18,66547,2,2,HR,Master,Male,Married,Manager
35,12,64672,4,3,Finance,Master,Female,Married,Clerk
28,7,35069,3,3,HR,Bachelor,Female,Single,Manager
38,13,45656,2,4,Finance,High School,Female,Married,Analyst
36,11,39973,2,4,HR,Bachelor,Male,Divorced,Clerk
30,4,55915,3,3,Engineering,Master,Male,Single,Engineer
35,13,47208,2,3,Engineering,High School,Female,Married,Engineer
32,9,60779,4,4,Engineering,Bachelor,Female,Married,Engineer
35,14,62135,1,3,Marketing,Master,Male,Widowed,Analyst
39,17,78057,4,5,Engineering,Bachelor,Male,Married,Engineer
46,20,62788,3,3,Sales,Bachelor,Female,Married,Manager
26,0,42171,5,4,Engineering,Bachelor,Male,Married,Engineer
49,27,78337,3,5,Sales,Master,Female,Married,Executive
22,0,30000,2,3,Sales,Bachelor,Male,Divorced,Executive
33,8,68102,4,1,Engineering,Master,Male,Married,Engineer
39,18,81255,4,4,Engineering,Bachelor,Male,Married,Engineer
36,15,72908,3,4,Marketing,PhD,Female,Married,Executive
30,9,45269,1,3,Engineering,High School,Male,Single,Engineer
33,11,40990,3,2,Finance,High School,Male,Married,Clerk
31,7,35663,3,5,Marketing,Master,Male,Married,Executive
30,7,55046,3,3,Finance,Master,Male,Single,Analyst
40,14,48250,3,3,Sales,Bachelor,Male,Married,Executive
37,15,59999,4,5,HR,Master,Male,Married,Manager
30,7,53253,5,3,Finance,Master,Female,Married,Clerk
41,15,45411,2,4,Finance,High School,Male,Widowed,Analyst
37,11,59426,4,4,Engineering,Bachelor,Male,Divorced,Engineer
40,16,59695,3,5,Marketing,Master,Male,Divorced,Manager
39,14,41982,3,3,Marketing,Bachelor,Female,Widowed,Manager
29,8,42090,4,5,HR,Bachelor,Male,Single,Clerk
31,8,51256,4,3,Finance,Master,Male,Single,Analyst
40,18,51928,5,3,Marketing,Bachelor,Male,Married,Manager
39,16,47867,4,3,Finance,High School,Female,Married,Analyst
34,9,54039,2,3,Marketing,PhD,Female,Divorced,Analyst
35,14,46079,3,3,Marketing,Bachelor,Male,Married,Manager
43,20,91848,4,4,Finance,Master,Male,Married,Analyst
30,5,42318,3,4,HR,Master,Male,Single,Clerk
38,16,35791,3,4,HR,High School,Female,Married,Manager
33,9,30000,3,4,HR,High School,Female,Single,Clerk
33,7,40956,5,2,HR,Bachelor,Male,Single,Clerk
42,20,60433,4,2,Finance,Bachelor,Female,Married,Analyst
40,19,61364,3,2,Finance,Bachelor,Male,Widowed,Analyst
40,14,46472,5,2,Marketing,Bachelor,Female,Married,Manager
44,22,75964,4,3,Engineering,Bachelor,Male,Married,Engineer
35,13,49118,1,3,Sales,Bachelor,Female,Divorced,Manager
39,17,47468,2,3,HR,Bachelor,Male,Married,Clerk
32,10,52861,3,3,Finance,Bachelor,Female,Married,Analyst
37,11,42482,3,3,HR,Bachelor,Male,Divorced,Clerk
34,13,43062,4,2,Marketing,High School,Male,Divorced,Executive
35,10,52261,4,2,Sales,Bachelor,Male,Divorced,Executive
39,16,43318,3,3,Finance,High School,Male,Married,Clerk
29,5,46624,4,2,Engineering,Bachelor,Male,Married,Engineer
49,26,124443,3,3,Engineering,Master,Female,Married,Engineer
27,4,30000,3,2,Finance,High School,Female,Married,Manager
26,2,35138,4,3,Marketing,Bachelor,Male,Single,Manager
43,17,55327,3,3,Marketing,Bachelor,Male,Married,Manager
40,19,41233,4,3,Marketing,High School,Male,Divorced,Analyst
39,15,50436,2,2,Engineering,High School,Male,Married,Engineer
39,18,71522,3,2,HR,Master,Male,Married,Clerk
34,8,48568,3,3,Marketing,Bachelor,Male,Single,Executive
28,5,77316,3,5,Engineering,PhD,Female,Married,Engineer
35,14,57289,3,2,Engineering,Bachelor,Male,Divorced,Engineer
30,4,54969,4,2,Engineering,Bachelor,Male,Married,Engineer
41,15,50102,2,2,Finance,Bachelor,Female,Divorced,Manager
33,8,50133,2,4,Finance,Bachelor,Male,Single,Analyst
29,5,32344,2,5,Finance,Bachelor,Male,Single,Clerk
32,7,40538,4,1,Sales,Bachelor,Male,Single,Manager
37,14,60967,1,4,Finance,Bachelor,Female,Married,Analyst
31,7,30000,4,3,Engineering,High School,Male,Married,Engineer
29,6,39993,2,4,Finance,Bachelor,Male,Single,Analyst
36,11,42539,3,3,HR,Bachelor,Female,Married,Manager
36,10,56262,4,1,Engineering,Bachelor,Male,Divorced,Engineer
31,8,36712,3,3,Marketing,Bachelor,Female,Married,Manager
31,7,52579,2,4,Finance,Master,Female,Single,Clerk
36,12,69143,3,5,Engineering,Bachelor,Male,Married,Engineer
24,1,30000,4,3,Marketing,High School,Female,Single,Analyst
25,1,35025,3,2,Sales,Bachelor,Female,Single,Manager
29,3,50720,3,3,Sales,Master,Female,Married,Executive
33,7,33286,2,4,Finance,High School,Male,Single,Analyst
37,13,49859,3,3,Marketing,Bachelor,Female,Divorced,Analyst
45,22,75277,4,3,Engineering,Bachelor,Male,Married,Engineer
41,16,60416,2,1,Finance,High School,Female,Married,Analyst
33,9,48400,4,1,Finance,Bachelor,Male,Married,Manager
34,10,46569,5,3,Marketing,Bachelor,Male,Married,Executive
27,3,30000,2,2,HR,Master,Male,Single,Clerk
34,10,48906,4,3,Sales,Bachelor,Male,Married,Executive
32,9,39661,3,3,HR,Bachelor,Male,Single,Manager
37,12,65416,4,2,Engineering,Bachelor,Male,Married,Engineer
29,4,36067,3,4,Sales,Bachelor,Male,Single,Manager
38,17,60391,4,2,Finance,Bachelor,Male,Married,Analyst
45,21,62357,3,4,Engineering,High School,Male,Widowed,Engineer
34,10,49006,4,2,Finance,Bachelor,Male,Married,Clerk
37,16,53980,4,2,Finance,High School,Female,Married,Clerk
39,14,44246,2,4,HR,Bachelor,Female,Divorced,Manager
32,10,49538,2,3,Finance,High School,Male,Single,Analyst
36,10,40776,4,2,HR,Bachelor,Female,Divorced,Clerk
35,13,53674,3,1,Marketing,Bachelor,Female,Divorced,Executive
35,10,79122,5,5,Engineering,Master,Male,Married,Engineer
29,5,30000,5,3,Marketing,Bachelor,Male,Married,Executive
35,13,47014,4,3,Finance,Bachelor,Male,Married,Clerk
38,15,64823,3,1,Finance,Master,Female,Married,Clerk
45,22,49753,2,4,HR,Bachelor,Male,Married,Manager
41,20,82556,4,2,Marketing,PhD,Female,Widowed,Manager
50,25,70346,2,3,Engineering,High School,Male,Divorced,Engineer
29,4,37280,3,3,Marketing,Bachelor,Female,Single,Manager
41,19,65343,3,4,Finance,Bachelor,Male,Married,Analyst
36,12,74920,5,3,Engineering,Master,Male,Married,Engineer
50,25,79880,2,3,Finance,Bachelor,Male,Married,Analyst
29,7,59333,4,3,Finance,Master,Female,Single,Manager
29,7,65050,3,3,Engineering,Bachelor,Male,Single,Engineer
30,4,39887,1,5,HR,Master,Male,Single,Clerk
22,0,30000,4,4,Sales,Bachelor,Female,Single,Executive
31,6,37022,2,2,HR,Bachelor,Female,Married,Clerk
29,7,59103,3,3,Marketing,Master,Male,Single,Analyst
36,15,76071,4,4,Finance,Master,Male,Divorced,Clerk
37,16,54248,2,3,HR,Bachelor,Male,Married,Clerk
48,22,50779,3,3,Sales,High School,Male,Married,Executive
41,16,44509,3,1,Marketing,High School,Female,Married,Executive
30,6,50093,3,2,Finance,Bachelor,Male,Single,Clerk
28,7,31062,4,2,Sales,High School,Female,Married,Executive
38,17,47696,3,3,HR,Bachelor,Male,Married,Clerk
25,0,41955,3,5,Engineering,Bachelor,Male,Single,Engineer
47,21,87577,3,4,Finance,Master,Female,Widowed,Clerk
43,18,34578,3,2,Sales,High School,Female,Divorced,Manager
31,5,34699,3,4,Marketing,Bachelor,Male,Married,Executive
23,0,30000,1,4,Sales,Bachelor,Female,Single,Executive
44,22,59267,4,3,Marketing,Bachelor,Female,Married,Analyst
34,13,63742,5,3,Finance,Bachelor,Male,Married,Analyst
43,20,54035,4,3,Marketing,Bachelor,Male,Married,Manager
23,0,30000,1,3,Sales,Bachelor,Male,Single,Executive
30,7,52571,3,2,Sales,Master,Female,Married,Executive
35,10,54965,4,3,Finance,Bachelor,Male,Married,Analyst
35,11,67690,3,3,Finance,Master,Female,Divorced,Analyst
31,7,53706,4,3,Finance,Master,Female,Married,Clerk
39,13,62822,4,3,Sales,Master,Female,Widowed,Executive
27,4,30000,2,4,Marketing,High School,Female,Single,Executive
34,9,43979,3,1,Finance,Bachelor,Male,Single,Clerk
35,14,42244,1,3,Sales,Bachelor,Female,Divorced,Executive
38,12,41339,3,4,Marketing,Bachelor,Female,Married,Manager
39,16,67313,4,3,Finance,Bachelor,Male,Married,Analyst
27,6,47562,5,5,Marketing,Bachelor,Female,Married,Analyst
24,1,34149,5,3,Finance,Bachelor,Female,Single,Analyst
43,17,81251,1,3,Engineering,Bachelor,Male,Married,Engineer
37,16,47261,5,4,HR,Bachelor,Male,Married,Manager
29,3,59804,4,2,Finance,PhD,Male,Married,Manager
45,22,65921,4,4,Finance,Bachelor,Female,Divorced,Clerk
35,11,67044,5,2,Engineering,Bachelor,Male,Married,Engineer
43,21,58306,3,3,Sales,Bachelor,Male,Married,Executive
35,11,47922,3,1,Marketing,Master,Female,Married,Manager
49,23,84153,1,4,Engineering,Bachelor,Male,Married,Engineer
47,21,85258,1,5,Engineering,Bachelor,Male,Divorced,Engineer
33,7,33054,4,1,Sales,High School,Male,Married,Manager
41,20,51889,3,3,HR,Bachelor,Female,Divorced,Clerk
39,14,60452,3,5,Engineering,Bachelor,Female,Married,Engineer
44,18,55364,2,3,Marketing,Master,Female,Divorced,Analyst
28,4,52601,5,4,Engineering,Master,Male,Married,Engineer
39,17,65682,2,2,Sales,Master,Female,Divorced,Executive
42,16,64717,3,2,Marketing,Master,Female,Widowed,Manager
22,0,30000,3,3,Sales,Bachelor,Male,Single,Executive
26,0,36008,1,5,HR,Master,Female,Single,Clerk
22,1,31382,4,4,Finance,Bachelor,Female,Single,Analyst
33,7,36034,3,4,Marketing,Bachelor,Female,Single,Manager
40,16,78316,3,3,Engineering,Bachelor,Male,Married,Engineer
45,22,44539,4,4,Finance,High School,Female,Divorced,Analyst
35,10,50525,3,4,Engineering,Bachelor,Female,Married,Engineer
46,20,54205,4,3,HR,Bachelor,Female,Married,Clerk
25,4,39572,4,4,Finance,Bachelor,Male,Married,Manager
23,0,30000,4,2,HR,Master,Female,Divorced,Clerk
34,8,34785,3,1,Finance,High School,Male,Married,Clerk
37,16,64669,2,3,Finance,Bachelor,Male,Divorced,Clerk
34,11,53705,3,1,Finance,Master,Female,Married,Clerk
22,0,46024,3,1,Engineering,Bachelor,Female,Single,Engineer
34,8,46103,2,3,Sales,Master,Female,Single,Executive
25,1,30000,3,2,Engineering,Bachelor,Male,Single,Engineer
39,18,87060,3,4,Marketing,PhD,Male,Married,Analyst
37,16,49728,2,3,HR,Bachelor,Male,Married,Clerk
28,2,30000,5,3,Marketing,High School,Female,Married,Analyst
31,10,54971,4,2,Engineering,Bachelor,Male,Married,Engineer
